epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1426.29,0.93692,0.55074,0.89607,0.99699,0.28,0.3826,0.25714,0.92065,0.50444,0.98686,0.0011684,0.0011684,0.0011684
44,1458.81,0.94018,0.56666,0.89543,1,0.27785,0.37673,0.28532,0.86771,0.52245,0.98101,0.0011486,0.0011486,0.0011486
45,1493.82,0.92551,0.56157,0.87674,0.79729,0.31513,0.3288,0.24148,0.84339,0.4746,0.98018,0.0011288,0.0011288,0.0011288
46,1527.97,0.90283,0.55211,0.88568,1,0.27991,0.36339,0.26014,0.86373,0.47748,0.9708,0.001109,0.001109,0.001109
47,1562.21,0.91901,0.55182,0.89228,0.86565,0.36,0.39132,0.27825,0.9977,0.47134,1.01278,0.0010892,0.0010892,0.0010892
48,1596.08,0.90472,0.5403,0.89755,0.98652,0.24,0.34092,0.24943,0.92386,0.60397,1.01742,0.0010694,0.0010694,0.0010694
49,1630.6,0.88087,0.53873,0.87953,0.88769,0.31655,0.33204,0.24843,0.97571,0.49987,1.02205,0.0010496,0.0010496,0.0010496
50,1663.45,0.86486,0.54212,0.88206,0.87231,0.32,0.35643,0.25216,0.98502,0.55854,1.04304,0.0010298,0.0010298,0.0010298
51,1696.48,0.91773,0.56031,0.87625,0.87483,0.27962,0.406,0.28945,1.08482,0.52573,1.05825,0.00101,0.00101,0.00101
52,1728.8,0.88937,0.53441,0.88514,0.87418,0.27816,0.45944,0.32662,0.96305,0.53836,1.00462,0.0009902,0.0009902,0.0009902
53,1761.39,0.8547,0.53085,0.8683,0.87399,0.27773,0.39358,0.29695,1.0074,0.49825,1.02113,0.0009704,0.0009704,0.0009704
54,1794.4,0.83832,0.49896,0.87993,0.79276,0.30697,0.43894,0.32087,0.9146,0.52565,1.00723,0.0009506,0.0009506,0.0009506
55,1825.9,0.92435,0.55091,0.87847,0.79909,0.31836,0.44039,0.29684,0.90243,0.50982,0.98925,0.0009308,0.0009308,0.0009308
56,1859.95,0.8699,0.5315,0.88438,0.72462,0.28,0.44975,0.31156,0.93595,0.43907,1.00452,0.000911,0.000911,0.000911
57,1891.81,0.83839,0.49491,0.89524,0.88843,0.32,0.38628,0.28287,1.03377,0.49327,1.03326,0.0008912,0.0008912,0.0008912
58,1924.53,0.83851,0.5023,0.86242,0.98695,0.32,0.40952,0.29573,0.93964,0.44802,0.98873,0.0008714,0.0008714,0.0008714
59,1956.64,0.82945,0.50292,0.87769,0.98953,0.36,0.45586,0.35647,0.92172,0.49674,1.0045,0.0008516,0.0008516,0.0008516
60,1988.69,0.81922,0.50731,0.85887,0.96378,0.32,0.44783,0.29556,0.97576,0.46075,1.01692,0.0008318,0.0008318,0.0008318
61,2019.91,0.83718,0.50626,0.86873,0.97426,0.32,0.41469,0.30433,0.94915,0.43754,1.01278,0.000812,0.000812,0.000812
62,2053.55,0.80221,0.48574,0.85585,0.89167,0.33002,0.44587,0.31027,1.02088,0.42524,1.04826,0.0007922,0.0007922,0.0007922
63,2088.08,0.8019,0.49322,0.85908,1,0.27946,0.42874,0.29113,0.9735,0.39489,0.99835,0.0007724,0.0007724,0.0007724
64,2120.14,0.79379,0.47797,0.84842,0.98021,0.28,0.35851,0.26318,0.93438,0.43866,0.99815,0.0007526,0.0007526,0.0007526
65,2151.92,0.78275,0.47602,0.85167,0.99065,0.32,0.40197,0.3078,0.86098,0.38299,0.96928,0.0007328,0.0007328,0.0007328
66,2184.03,0.77819,0.46457,0.85316,0.99386,0.28,0.42742,0.29889,0.99689,0.42702,1.01462,0.000713,0.000713,0.000713
67,2218.24,0.82551,0.50437,0.86646,1,0.27985,0.47139,0.3353,0.95422,0.52099,1.04301,0.0006932,0.0006932,0.0006932
68,2252.04,0.77327,0.46526,0.86319,0.98447,0.36,0.49497,0.36903,0.84494,0.36943,0.98367,0.0006734,0.0006734,0.0006734
69,2286.52,0.76366,0.46427,0.85088,1,0.35566,0.51285,0.38328,0.89799,0.41891,1.06291,0.0006536,0.0006536,0.0006536
70,2320.71,0.78685,0.47377,0.86514,1,0.31668,0.435,0.32878,0.88125,0.39983,0.98045,0.0006338,0.0006338,0.0006338
